id,question,label
0,Is the 1st email body large?,1
1,Is the 1st email body large?,0
2,Is the 1st email body large?,1
3,Is the 1st email body medium?,1
4,Is the 2nd email body small?,1
5,Is the 2nd email body small?,0
6,Is the 1st email body large?,1
7,Is the 3rd email body medium?,0
8,Is the 3rd email body small?,1
9,Is the 2nd email body small?,1
10,Is the 1st email body large?,0
11,Is the 3rd email body medium?,1
12,Is the 2nd email body large?,0
13,Is the 2nd email body medium?,1
14,Is the 3rd email body medium?,1
15,Is the 3rd email body medium?,0
16,Is the 3rd email body medium?,1
17,Is the 2nd email body small?,0
18,Is the 1st email body large?,0
19,Is the 2nd email body medium?,1
20,Is the 1st email body medium?,0
21,Is the 1st email body large?,0
22,Is the 3rd email body medium?,0
23,Is the 2nd email body large?,0
24,Is the 3rd email body medium?,0
25,Is the 1st email body large?,1
26,Is the 2nd email body small?,0
27,Is the 2nd email body medium?,0
28,Is the 1st email body medium?,0
29,Is the 3rd email body medium?,1
30,Is the 2nd email body small?,1
31,Is the 2nd email body large?,0
32,Is the 1st email body large?,1
33,Is the 1st email body large?,1
34,Is the 2nd email body medium?,1
35,Is the 3rd email body small?,1
36,Is the 3rd email body medium?,1
37,Is the 2nd email body medium?,1
38,Is the 2nd email body medium?,1
39,Is the 1st email body medium?,1
40,Is the 1st email body large?,1
41,Is the 2nd email body small?,1
42,Is the 3rd email body medium?,1
43,Is the 2nd email body medium?,0
44,Is the 3rd email body small?,1
45,Is the 2nd email body large?,1
46,Is the 2nd email body small?,1
47,Is the 2nd email body small?,1
48,Is the 2nd email body large?,0
49,Is the 3rd email body small?,1
50,Is the 2nd email body medium?,0
51,Is the 2nd email body large?,1
52,Is the 3rd email body small?,1
53,Is the 2nd email body large?,1
54,Is the 2nd email body small?,0
55,Is the 1st email body small?,1
56,Is the 3rd email body small?,0
57,Is the 1st email body small?,1
58,Is the 2nd email body medium?,0
59,Is the 1st email body small?,1
60,Is the 2nd email body small?,1
61,Is the 3rd email body small?,0
62,Is the 2nd email body medium?,0
63,Is the 3rd email body medium?,0
64,Is the 1st email body large?,0
65,Is the 1st email body large?,0
66,Is the 3rd email body medium?,1
67,Is the 3rd email body large?,0
68,Is the 3rd email body large?,0
69,Is the 2nd email body medium?,1
70,Is the 2nd email body medium?,0
71,Is the 2nd email body large?,0
72,Is the 1st email body medium?,0
73,Is the 1st email body medium?,0
74,Is the 1st email body large?,1
75,Is the 2nd email body medium?,1
76,Is the 2nd email body small?,0
77,Is the 3rd email body small?,1
78,Is the 2nd email body medium?,1
79,Is the 2nd email body small?,1
80,Is the 3rd email body large?,1
81,Is the 1st email body medium?,1
82,Is the 2nd email body small?,0
83,Is the 2nd email body small?,1
84,Is the 1st email body medium?,0
85,Is the 2nd email body small?,0
86,Is the 1st email body medium?,0
87,Is the 2nd email body medium?,0
88,Is the 1st email body large?,1
89,Is the 3rd email body medium?,0
90,Is the 3rd email body large?,1
91,Is the 3rd email body medium?,0
92,Is the 2nd email body small?,1
93,Is the 2nd email body small?,1
94,Is the 2nd email body medium?,1
95,Is the 1st email body medium?,1
96,Is the 2nd email body large?,0
97,Is the 1st email body large?,1
98,Is the 3rd email body medium?,0
99,Is the 3rd email body medium?,0
100,Is the 3rd email body medium?,0
101,Is the 2nd email body small?,1
102,Is the 1st email body small?,1
103,Is the 2nd email body small?,1
104,Is the 1st email body large?,0
105,Is the 3rd email body small?,0
106,Is the 3rd email body large?,0
107,Is the 1st email body medium?,0
108,Is the 1st email body medium?,1
109,Is the 1st email body small?,0
110,Is the 3rd email body medium?,1
111,Is the 2nd email body large?,1
112,Is the 2nd email body large?,1
113,Is the 2nd email body small?,0
114,Is the 3rd email body large?,1
115,Is the 1st email body large?,0
116,Is the 1st email body small?,0
117,Is the 1st email body small?,0
118,Is the 2nd email body medium?,1
119,Is the 3rd email body medium?,1
120,Is the 2nd email body medium?,1
121,Is the 2nd email body medium?,0
122,Is the 3rd email body small?,1
123,Is the 1st email body medium?,0
124,Is the 1st email body medium?,1
125,Is the 1st email body small?,1
126,Is the 3rd email body large?,0
127,Is the 2nd email body small?,1
128,Is the 3rd email body large?,0
129,Is the 3rd email body small?,0
130,Is the 3rd email body large?,1
131,Is the 2nd email body small?,0
132,Is the 3rd email body large?,1
133,Is the 2nd email body small?,1
134,Is the 1st email body medium?,0
135,Is the 1st email body medium?,0
136,Is the 2nd email body medium?,0
137,Is the 1st email body small?,0
138,Is the 2nd email body medium?,0
139,Is the 3rd email body medium?,0
140,Is the 1st email body large?,0
141,Is the 2nd email body small?,1
142,Is the 2nd email body small?,1
143,Is the 2nd email body medium?,1
144,Is the 2nd email body large?,0
145,Is the 3rd email body large?,0
146,Is the 1st email body large?,1
147,Is the 3rd email body small?,1
148,Is the 1st email body large?,1
149,Is the 3rd email body medium?,0
150,Is the 2nd email body medium?,0
151,Is the 2nd email body large?,1
152,Is the 1st email body medium?,0
153,Is the 1st email body medium?,1
154,Is the 1st email body medium?,0
155,Is the 3rd email body small?,0
156,Is the 2nd email body large?,0
157,Is the 2nd email body medium?,1
158,Is the 1st email body small?,1
159,Is the 3rd email body medium?,1
160,Is the 1st email body medium?,0
161,Is the 1st email body large?,1
162,Is the 1st email body medium?,0
163,Is the 3rd email body small?,0
164,Is the 3rd email body large?,0
165,Is the 2nd email body large?,0
166,Is the 1st email body small?,0
167,Is the 2nd email body large?,1
168,Is the 1st email body small?,1
169,Is the 3rd email body large?,0
170,Is the 2nd email body large?,1
171,Is the 1st email body large?,1
172,Is the 3rd email body medium?,1
173,Is the 1st email body medium?,1
174,Is the 3rd email body medium?,0
175,Is the 2nd email body large?,0
176,Is the 1st email body large?,0
177,Is the 3rd email body large?,1
178,Is the 1st email body small?,0
179,Is the 2nd email body small?,0
180,Is the 2nd email body medium?,0
181,Is the 3rd email body medium?,0
182,Is the 1st email body large?,0
183,Is the 1st email body small?,0
184,Is the 2nd email body small?,0
185,Is the 2nd email body medium?,1
186,Is the 1st email body large?,1
187,Is the 1st email body large?,1
188,Is the 3rd email body medium?,0
189,Is the 1st email body medium?,1
190,Is the 1st email body small?,0
191,Is the 1st email body small?,1
192,Is the 1st email body medium?,0
193,Is the 2nd email body small?,1
194,Is the 2nd email body large?,0
195,Is the 3rd email body medium?,0
196,Is the 1st email body medium?,0
197,Is the 1st email body medium?,0
198,Is the 1st email body large?,1
199,Is the 3rd email body medium?,0
200,Is the 2nd email body large?,0
201,Is the 2nd email body small?,0
202,Is the 3rd email body medium?,1
203,Is the 1st email body medium?,0
204,Is the 3rd email body medium?,1
205,Is the 1st email body small?,0
206,Is the 3rd email body medium?,1
207,Is the 2nd email body small?,0
208,Is the 2nd email body small?,1
209,Is the 1st email body medium?,1
210,Is the 1st email body medium?,0
211,Is the 2nd email body large?,1
212,Is the 2nd email body small?,0
213,Is the 2nd email body large?,0
214,Is the 3rd email body large?,1
215,Is the 3rd email body large?,1
216,Is the 2nd email body medium?,0
217,Is the 1st email body small?,1
218,Is the 1st email body small?,1
219,Is the 3rd email body large?,1
220,Is the 1st email body large?,1
221,Is the 1st email body large?,1
222,Is the 3rd email body large?,1
223,Is the 3rd email body large?,1
224,Is the 2nd email body large?,1
225,Is the 2nd email body small?,1
226,Is the 3rd email body medium?,0
227,Is the 1st email body medium?,1
228,Is the 3rd email body small?,1
229,Is the 3rd email body large?,1
230,Is the 1st email body small?,0
231,Is the 1st email body large?,1
232,Is the 2nd email body small?,1
233,Is the 3rd email body medium?,0
234,Is the 1st email body large?,1
235,Is the 2nd email body medium?,0
236,Is the 3rd email body small?,0
237,Is the 2nd email body small?,0
238,Is the 1st email body medium?,0
239,Is the 2nd email body small?,1
240,Is the 2nd email body medium?,1
241,Is the 3rd email body medium?,0
242,Is the 3rd email body small?,1
243,Is the 2nd email body small?,0
244,Is the 2nd email body medium?,0
245,Is the 2nd email body small?,0
246,Is the 2nd email body medium?,0
247,Is the 2nd email body small?,0
248,Is the 2nd email body medium?,0
249,Is the 3rd email body medium?,0
250,Is the 3rd email body small?,1
251,Is the 1st email body large?,1
252,Is the 3rd email body small?,0
253,Is the 3rd email body small?,0
254,Is the 3rd email body medium?,1
255,Is the 3rd email body large?,0
256,Is the 1st email body medium?,0
257,Is the 1st email body large?,1
258,Is the 2nd email body medium?,1
259,Is the 1st email body small?,1
260,Is the 1st email body small?,1
261,Is the 3rd email body small?,0
262,Is the 1st email body small?,0
263,Is the 2nd email body small?,1
264,Is the 3rd email body small?,1
265,Is the 2nd email body small?,0
266,Is the 2nd email body large?,1
267,Is the 1st email body small?,0
268,Is the 3rd email body large?,1
269,Is the 3rd email body medium?,1
270,Is the 3rd email body small?,1
271,Is the 2nd email body small?,1
272,Is the 2nd email body medium?,0
273,Is the 3rd email body medium?,1
274,Is the 1st email body large?,1
275,Is the 1st email body large?,0
276,Is the 3rd email body small?,1
277,Is the 1st email body medium?,1
278,Is the 2nd email body large?,1
279,Is the 1st email body small?,0
280,Is the 1st email body small?,1
281,Is the 2nd email body medium?,1
282,Is the 2nd email body large?,0
283,Is the 1st email body small?,0
284,Is the 2nd email body small?,1
